Age Certification,Description,Genres,Id,Imdb Id,Production Countries,Release Year,Title,Type,Imdb Score,Imdb Votes,Runtime,Seasons,Tmdb Popularity,Tmdb Score
TV-MA,"This collection includes 12 World War II-era propaganda films â€” many of which are graphic and offensive â€” discussed in the docuseries ""Five Came Back.""",['documentation'],ts300399,,['US'],1945,Five Came Back: The Reference Films,SHOW,,,51,1,0.6,
R,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,"['drama', 'crime']",tm84618,tt0075314,['US'],1976,Taxi Driver,MOVIE,8.2,808582,114,,40.965,8.179
R,"Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country.","['drama', 'action', 'thriller', 'european']",tm154986,tt0068473,['US'],1972,Deliverance,MOVIE,7.7,107673,109,,10.01,7.3
PG,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".","['fantasy', 'action', 'comedy']",tm127384,tt0071853,['GB'],1975,Monty Python and the Holy Grail,MOVIE,8.2,534486,91,,15.461,7.811
,"12 American military prisoners in World War II are ordered to infiltrate a well-guarded enemy chÃ¢teau and kill the Nazi officers vacationing there. The soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences.","['war', 'action']",tm120801,tt0061578,"['GB', 'US']",1967,The Dirty Dozen,MOVIE,7.7,72662,150,,20.398,7.6
TV-14,"A British sketch comedy series with the shows being composed of surreality, risquÃ© or innuendo-laden humour, sight gags and observational sketches without punchlines.","['comedy', 'european']",ts22164,tt0063929,['GB'],1969,Monty Python's Flying Circus,SHOW,8.8,73424,30,4,17.617,8.306
R,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",['comedy'],tm70993,tt0079470,['GB'],1979,Life of Brian,MOVIE,8,395024,94,,17.77,7.8
R,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan â€“ famous for his take-no-prisoners approach to law enforcement â€“ is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.","['thriller', 'action', 'crime']",tm14873,tt0066999,['US'],1971,Dirty Harry,MOVIE,7.7,155051,102,,12.817,7.5
R,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.","['crime', 'drama', 'action']",tm119281,tt0061418,['US'],1967,Bonnie and Clyde,MOVIE,7.7,112048,110,,15.687,7.5
R,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?","['romance', 'action', 'drama']",tm98978,tt0080453,['US'],1980,The Blue Lagoon,MOVIE,5.8,69844,104,,50.324,6.156
,"A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.","['action', 'drama', 'war']",tm44204,tt0054953,"['GB', 'US']",1961,The Guns of Navarone,MOVIE,7.5,50748,158,,13.844,7.3
PG-13,An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,"['western', 'action', 'european']",tm67378,tt0060862,['US'],1966,The Professionals,MOVIE,7.3,16446,117,,13.123,7.1
R,"Richard Pryor delivers monologues on race, sex, family and his favorite targetâ€”himself, live at the Terrace Theatre in Long Beach, California.","['comedy', 'documentation']",tm69997,tt0079807,['US'],1979,Richard Pryor: Live in Concert,MOVIE,8.1,5141,78,,4.718,7.5
,Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.,"['romance', 'comedy']",tm16479,tt0047673,['US'],1954,White Christmas,MOVIE,7.5,42488,115,,8.915,7.2
,"Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed by Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.","['drama', 'crime', 'comedy']",tm135083,tt0051390,['EG'],1958,Cairo Station,MOVIE,7.5,4471,77,,5.546,7.3
PG,"A keen chronicle of the unlikely rise to power of Adolf Hitler (1889-1945) and a dissection of the Third Reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.","['history', 'documentation', 'european']",tm89386,tt0191182,['DE'],1977,Hitler: A Career,MOVIE,7.5,2460,150,,4.305,7.3
